INFO 2020-07-20 19:14:16,135 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6956
INFO 2020-07-20 19:14:16,158 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:14:41,736 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-20 19:14:41,782 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6956
INFO 2020-07-20 19:14:41,808 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:15:03,448 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-20 19:15:03,495 basehttp 157 "GET /admin/home/banner/ HTTP/1.1" 200 5188
INFO 2020-07-20 19:15:03,517 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:15:27,635 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:15:32,670 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-20 19:15:37,342 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:15:52,213 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:18:53,126 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:20:04,287 basehttp 157 "GET /home/banner HTTP/1.1" 301 0
INFO 2020-07-20 19:20:04,300 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:20:56,971 basehttp 157 "GET /home/banner HTTP/1.1" 301 0
INFO 2020-07-20 19:20:56,986 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:23:19,070 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-20 19:23:46,095 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:27:04,581 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:28:37,994 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:29:40,545 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:29:40,707 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-20 19:29:40,713 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-20 19:29:40,724 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-20 19:29:40,727 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-20 19:31:01,111 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:31:02,877 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 19:31:06,448 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-20 20:13:40,211 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
